,,,,,,,Public Service Reform (ranking),,,Economy and Skills/ Capacity (ranking),,,Digital Infrastructure (ranking),,,Public service Reform (score),,,Economy and Skills/Capacity (score),,,Digital Infrastructure (score),,
,,,,,,,Innovation,Dig. Public Services,Gov Effectiveness,Digitalisation,Human Capacity,AI Startups,Quality of digital ,Available data,Data capability,Innovation,Dig. Public Services,Gov Effectiveness,Digitalisation,Human Capacity,AI Startups,Quality of digital ,Available data,Data capability
,,,,,,source:,https://www.globalinnovationindex.org/gii-2017-report,https://publicadministration.un.org/egovkb/en-us/Reports/UN-E-Government-Survey-2016,http://info.worldbank.org/governance/wgi/#home,https://sites.tufts.edu/digitalplanet/files/2017/05/Digital_Planet_2017_FINAL.pdf,https://publicadministration.un.org/egovkb/en-us/Reports/UN-E-Government-Survey-2016,https://www.crunchbase.com/,https://publicadministration.un.org/egovkb/en-us/Reports/UN-E-Government-Survey-2016,http://www.oecd-ilibrary.org/governance/government-at-a-glance-2015/our-data-index-open-useful-reusable-government-data_gov_glance-2015-70-en,http://opendatabarometer.org/,https://www.globalinnovationindex.org/gii-2017-report,https://publicadministration.un.org/egovkb/en-us/Reports/UN-E-Government-Survey-2016,http://info.worldbank.org/governance/wgi/#home,https://sites.tufts.edu/digitalplanet/files/2017/05/Digital_Planet_2017_FINAL.pdf,https://publicadministration.un.org/egovkb/en-us/Reports/UN-E-Government-Survey-2016,https://www.crunchbase.com/,https://publicadministration.un.org/egovkb/en-us/Reports/UN-E-Government-Survey-2016,http://www.oecd-ilibrary.org/governance/government-at-a-glance-2015/our-data-index-open-useful-reusable-government-data_gov_glance-2015-70-en,http://opendatabarometer.org/
Country,AI Rank,Index,Rank of ranking,Sum Ranking,GDP per capita (PPP),GDP,Innovation index,UN E-Gov,World Bank,Tufts,UN - Egov,Crunchbase,UN E-gov,OECD OUR Data,Open Data Barometeer,Innovation index,UN E-Gov,World Bank,Tufts,UN - Egov,Crunchbase,UN E-gov,OECD OUR Data,Open Data Barometeer
UNITED KINGDOM,1,8.400058212,1,4.3,"42,609","  2,618,886 ",5,1,12,7,6,2,1,4,1,0.8995568685,1,0.9323671046,0.9683377309,0.94018,0.7887245041,1,0.8708920039,1
UNITED STATES,2,8.209167474,3,8.1,"57,467","  18,569,100 ",4,8,15,8,15,1,11,6,5,0.9069423929,0.92754,0.9178743632,0.9525065963,0.88155,1,0.89831,0.7757261729,0.9487179487
CANADA,3,7.863319516,4,8.8,"44,025","  1,529,760 ",16,3,8,9,23,3,8,7,2,0.7932053176,0.95652,0.9565216991,0.9366754617,0.85717,0.6925176627,0.91525,0.7708439904,0.9846153846
KOREA,4,7.812407479,7,9.7,"35,751","  1,411,246 ",10,4,25,6,16,17,4,1,4,0.8522895126,0.94203,0.8115942085,0.9709762533,0.87947,0.420716735,0.9661,1,0.9692307692
NETHERLANDS,5,7.761905159,2,7.4,"50,898","  770,845 ",3,8,6,9,9,9,5,8,10,0.9364844904,0.92754,0.9661835523,0.9366754617,0.9183,0.5428438332,0.94915,0.7283175645,0.8564102564
FRANCE,6,7.744355794,9,11.1,"41,466","  2,465,454 ",14,4,17,18,25,5,11,3,3,0.8005908419,0.94203,0.9033816218,0.8575197889,0.84452,0.6415454207,0.89831,0.8769709413,0.9794871795
JAPAN,7,7.597518368,11,11.4,"41,470","  4,939,384 ",13,13,7,13,28,14,2,2,11,0.8079763663,0.87681,0.961352664,0.9287598945,0.82738,0.4488431676,0.98305,0.9428334553,0.8205128205
AUSTRALIA,8,7.476332505,6,9.3,"46,790","  1,204,616 ",20,2,13,9,1,8,2,22,7,0.765140325,0.97826,0.9275362163,0.9366754617,1,0.5457266843,0.98305,0.4425079202,0.8974358974
NEW ZEALAND,9,7.377215052,8,10.4,"39,059","  185,017 ",19,4,4,12,5,27,5,12,6,0.7813884786,0.94203,0.9758454054,0.9340369393,0.94024,0.2937793911,0.94915,0.6274115043,0.9333333333
FINLAND,10,7.370989308,5,8.9,"43,053","  236,785 ",7,4,5,4,4,16,8,14,18,0.8641063516,0.94203,0.9710144405,0.981530343,0.94399,0.4456607673,0.91525,0.6202279188,0.6871794872
SWEDEN,11,7.186223717,10,11.2,"49,175","  511,000 ",2,13,9,1,8,12,19,24,13,0.9423929099,0.87681,0.9516908109,1,0.92096,0.5095277321,0.76271,0.4067476489,0.8153846154
SPAIN,12,7.179790582,15,14.4,"36,310","  1,232,088 ",24,10,23,22,17,7,7,9,11,0.7208271787,0.91304,0.835748803,0.7783641161,0.87821,0.5791783865,0.9322,0.7217092771,0.8205128205
GERMANY,13,6.959504184,14,14.3,"48,730","  3,466,757 ",8,19,10,15,14,4,19,20,20,0.8626292467,0.84058,0.946859846,0.8865435356,0.88825,0.6624624723,0.76271,0.4581870323,0.6512820513
ISRAEL,14,6.936561239,18,16.6,"37,901","  318,744 ",15,16,18,20,21,6,16,15,22,0.7961595273,0.86232,0.8937197686,0.8284960422,0.86189,0.630647973,0.83051,0.6174333127,0.6153846154
NORWAY,15,6.918981969,13,13.8,"59,302","  370,557 ",17,20,3,1,10,28,19,10,16,0.7843426883,0.80435,0.9903381468,1,0.90306,0.2821024147,0.76271,0.6484889758,0.7435897436
AUSTRIA,16,6.839885315,18,16.6,"50,078","  386,428 ",17,10,14,17,26,19,13,25,8,0.7843426883,0.91304,0.9227052514,0.8654353562,0.83959,0.3991673982,0.88136,0.367577954,0.8666666667
